"date","pressure_average(hPa)","pressure_sea_level(hPa)","precipitation_sum(mm)","precipitation_max_1hour(mm)","precipitation_max_10minutes(mm)","temperature_average(℃)","temperature_max(℃)","temperature_min(℃)","humidity_average(%)","humidity_min(%)","wind_average_speed(m/s)","wind_max_speed(m/s)","wind_max_speed_direction(m/s)","wind_max_instantaneous_speed(m/s)","wind_max_instantaneous_direction(m/s)","sunshine_duration_(h)","snow_fall(cm)","snow_depth(cm)","weatherdaytime (06:00-18:00)","weathernighttime (18:00-06:00)","block_no","Source_Sheet"
2022-07-01,1013.1,1014.5,0,0,0,17.8,22.7,13.4,83,67,2.8,10.2,"南西",13.7,"南西",9,0,0,"曇後晴","晴後曇一時雨","47401","47401_2022_7"
2022-07-02,1009.3,1010.7,0,0,0,18.8,21.4,16.5,92,82,6.3,10.6,"南西",16.7,"南西",5.2,0,0,"曇時々晴一時雨","曇時々雨","47401","47401_2022_7"
2022-07-03,1003.8,1005.2,0,0,0,19.4,22,17.8,92,82,8.6,12.3,"南西",19.4,"南西",7.7,0,0,"曇時々晴","曇時々雨","47401","47401_2022_7"
2022-07-04,1004.9,1006.3,1.5,1.5,1,19.1,22.4,14.5,92,82,3.9,8.3,"南南西",13.5,"南",0.3,0,0,"曇一時雨","雨時々曇","47401","47401_2022_7"
2022-07-05,1008.8,1010.2,9,6,2,15.9,18,14.4,92,85,3,5.1,"東",7.4,"東北東",0.7,0,0,"曇時々雨","曇時々晴","47401","47401_2022_7"
2022-07-06,1011.7,1013.1,0,0,0,17.6,21.6,14.1,90,79,2.9,5.2,"北東",7.2,"東北東",11.3,0,0,"晴一時曇","晴、霧を伴う","47401","47401_2022_7"
2022-07-07,1012.2,1013.6,0,0,0,19.8,22.1,16.3,91,84,1.9,3.7,"南西",5.2,"南西",8.4,0,0,"晴時々曇","晴後一時霧","47401","47401_2022_7"
2022-07-08,1009.6,1011,0,0,0,22.4,26.6,19,85,65,2.4,5.5,"南西",8.1,"南西",10.6,0,0,"晴","晴","47401","47401_2022_7"
2022-07-09,1007.9,1009.3,0,0,0,21.3,24.3,19.6,86,77,2.8,7.3,"北東",9,"北東",12.4,0,0,"晴一時曇","晴時々曇","47401","47401_2022_7"
2022-07-10,1006.4,1007.8,0,0,0,20.7,28.3,16.8,86,64,3.6,8.6,"東南東",12.5,"東南東",12.3,0,0,"晴時々曇","曇時々晴","47401","47401_2022_7"
