pref_no,Pref_JPN_name,Pref_Name,Region,
1,北海道,Hokkaido,Hokkaido,
2,青森県,Aomori,Tohoku,
3,岩手県,Iwate,Tohoku,
4,宮城県,Miyagi,Tohoku,
5,秋田県,Akita,Tohoku,
6,山形県,Yamagata,Tohoku,
7,福島県,Fukushima,Tohoku,
8,茨城県,Ibaraki,Tokyo,
9,栃木県,Tochigi,Tokyo,
10,群馬県,Gunma,Tokyo,
11,埼玉県,Saitama,Tokyo,
12,千葉県,Chiba,Tokyo,
13,東京都,Tokyo,Tokyo,
14,神奈川県,Kanagawa,Tokyo,
15,新潟県,Niigata,Tohoku,
16,富山県,Toyama,Hokuriku,
17,石川県,Ishikawa,Hokuriku,
18,福井県,Fukui,Hokuriku,
19,山梨県,Yamanashi,Tokyo,
20,長野県,Nagano,Chuubu,
21,岐阜県,Gifu,Chuubu,
22,静岡県,Shizuoka,Chuubu,
23,愛知県,Aichi,Chuubu,
24,三重県,Mie,Chuubu,
25,滋賀県,Shiga,Kansai,
26,京都府,Kyoto,Kansai,
27,大阪府,Osaka,Kansai,
28,兵庫県,Hyogo,Kansai,
29,奈良県,Nara,Kansai,
30,和歌山県,Wakayama,Kansai,
31,鳥取県,Tottori,Chuugoku,
32,島根県,Shimane,Chuugoku,
33,岡山県,Okayama,Chuugoku,
34,広島県,Hiroshima,Chuugoku,
35,山口県,Yamaguchi,Chuugoku,
36,徳島県,Tokushima,Shikoku,
37,香川県,Kagawa,Shikoku,
38,愛媛県,Ehime,Shikoku,
39,高知県,Kochi,Shikoku,
40,福岡県,Fukuoka,Kyushu,
41,佐賀県,Saga,Kyushu,
42,長崎県,Nagasaki,Kyushu,
43,熊本県,Kumamoto,Kyushu,
44,大分県,Oita,Kyushu,
45,宮崎県,Miyazaki,Kyushu,
46,鹿児島県,Kagoshima,Kyushu,
47,沖縄県,Okinawa,Okinawa,
